Image,Title,Rating,Price,Result_Type
https://m.media-amazon.com/images/I/818iNyzckGL._AC_UY218_.jpg,"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",4.1,"₹52,990",Organic
https://m.media-amazon.com/images/I/8174YnTefkL._AC_UY218_.jpg,"ASUS ROG Strix G16,Samrtchoice, AMD Ryzen 9 8940HX, Gaming Laptop(RTX 5050-8GB/16GB RAM/1TB SSD/FHD+/16""/165Hz/90Whr/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.5 Kg) G614PH-RV033WS",4.0,"₹1,39,990",Organic
https://m.media-amazon.com/images/I/81+DaZP4aSL._AC_UY218_.jpg,"ASUS TUF A16 (2025), AMD Ryzen 7 7445HS, Gaming Laptop (RTX 4050-6GB/140W TGP/16GB RAM/1TB SSD/FHD+/16""/144Hz/56Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mecha Gray/2.2Kg) FA607NUG-RL189WS",3.9,"₹89,990",Organic
https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",4.2,"₹47,400",Ad
https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg,"Lenovo Ideapad Slim 3 13Th Gen Intel Core I5-13420H 15.3""(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/3 Mon. Game Pass/Grey/1.6Kg) 83K100C6IN",4.7,"₹57,400",Ad
https://m.media-amazon.com/images/I/71Z4mSII9BL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i5-1334U, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",3.8,"₹52,490",Ad
https://m.media-amazon.com/images/I/71FXHAM+jWL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",4.0,"₹37,990",Ad
https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,"HP 15, 13th Gen Intel Core i5-1334U Laptop (12GB DDR4,512GB SSD) Anti-Glare,Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/Privacy Shutter, fd0575TU",3.8,"₹49,280",Organic
https://m.media-amazon.com/images/I/81nPkLHN3vL._AC_UY218_.jpg,"ASUS TUF A15 (2025), AMD Ryzen 7 7445HS, Gaming Laptop(RTX 3050,75W TGP,16GB DDR5(Upgradeable Upto 64GB )512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,48Whrs,Windows 11,Graphite Black,2.3 Kg) FA506NCG-HN199W",4.1,"₹68,990",Organic
https://m.media-amazon.com/images/I/81atbNHvlaL._AC_UY218_.jpg,"ASUS TUF F16,14th Gen,Intel Core i7 14650HX,Gaming Laptop(RTX 5070-8GB/115W TGP/32GB/1TB /2.5K QHD+/16""/165Hz/90WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Jaeger Gray/2.2 Kg)FX688JPR-QT043WS",4.3,"₹1,69,990",Organic
https://m.media-amazon.com/images/I/51B4emQb6yL._AC_UY218_.jpg,"Zebronics-NS1000 Laptop Stand Featuring Foldable Design, Anti-Slip Silicone Rubber Pads, Supports Maximum of 5kgs Weight, 6 Adjustable Levels.",3.5,₹189,Organic
https://m.media-amazon.com/images/I/7158H1sxBvL._AC_UY218_.jpg,"EvoFox Frost Plus Laptop Cooling Pad | Laptop Cooler Pad with Dual Fans, Blue LED Backlight, Iron Mesh Design, LCD Display, Adjustable Stand, Ultra-Quiet Dual USB Cooling Pad (Black)",4.1,₹749,Organic
https://m.media-amazon.com/images/I/71yAQOj0FTL._AC_UY218_.jpg,"HP Victus, Intel Core i7, 13th Gen-13620H, 6 GB RTX 3050 Gaming Laptop, (16GB DDR4, 512GB SSD) 144Hz,300 nits, IPS, 15.6inch(39.6cm) Win 11, M365* Office24, Blue,2.29kg, Backlit,fa2077tx",4.2,"₹79,990",Organic
https://m.media-amazon.com/images/I/51XpiWaeMQL._AC_UY218_.jpg,"Lenovo ThinkBook 16, AMD Ryzen 7 7735HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, 1.7kg, 21MWA0AUIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop",3.6,"₹48,990",Organic
